case,covariance_min_eigenvalue,dt_cov,dt_pde,final_adjoint_frobenius_norm,k,logarithmic_negativity,mode_x,mode_y,nsteps,nu_physical_min,nu_pt,selection_symplectic_error,mode_class,k_over_kdom,angle_degrees,observed_refinement_ratio_nu_pt,richardson_nu_pt,absolute_nu_pt_error_to_richardson,observed_refinement_ratio_logarithmic_negativity,richardson_logarithmic_negativity,absolute_logarithmic_negativity_error_to_richardson
labyrinth,0.2576329557482589,0.025,0.05,328.7245224594165,0.6247804131785202,0.9527714262944696,9,9,3200,153.52433917880117,0.2583195205890279,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,3.989432822579031,0.2574275317382493,0.0008919888507786,3.96382313596124,0.9577595786642076,0.0049881523697378
labyrinth,0.2569633266916603,0.0125,0.05,328.7218311416435,0.6247804131785202,0.956512540571773,9,9,6400,153.3233961653013,0.257650528950944,1.3322676295501878e-15,dominant_shell,0.979070927796758,45.0,3.989432822579031,0.2574275317382493,0.0002229972126946,3.96382313596124,0.9577595786642076,0.0012470380924344
labyrinth,0.2717273134218114,0.1,0.05,328.77841930978826,0.6381360077604268,0.8785813645849809,5,12,800,177.93093883117476,0.2719509999072265,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,3.9890899619602433,0.257376698161898,0.0145743017453284,3.962664416760221,0.9580443505037533,0.0794629859187722
labyrinth,0.2608174759515496,0.05,0.05,328.7352554327261,0.6381360077604268,0.9375920063993208,5,12,1600,174.3006619112603,0.2610517967648822,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,3.9890899619602433,0.257376698161898,0.0036750986029842,3.962664416760221,0.9580443505037533,0.0204523441044321
labyrinth,0.2580603448178034,0.025,0.05,328.7245224594165,0.6381360077604268,0.9528952183805832,5,12,3200,173.37146500002422,0.2582973561401874,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,3.9890899619602433,0.257376698161898,0.0009206579782894,3.962664416760221,0.9580443505037533,0.00514913212317
labyrinth,0.2573691767409408,0.0125,0.05,328.7218311416435,0.6381360077604268,0.9567570674729606,5,12,6400,173.13776934345432,0.2576068626564703,1.3322676295501878e-15,dominant_shell,1.0,67.38013505195957,3.9890899619602433,0.257376698161898,0.0002301644945723,3.962664416760221,0.9580443505037533,0.0012872830307925
labyrinth,0.2717005984467199,0.1,0.05,328.77841930978826,0.6381360077604268,0.8786026968772948,0,13,800,177.74254479390473,0.2719469787557216,1.3322676295501878e-15,dominant_shell,1.0,90.0,3.9891803652838207,0.2574931000358281,0.0144538787198934,3.962983905714323,0.9573920611309872,0.0787893642536924
labyrinth,0.2609054633152012,0.05,0.05,328.7352554327261,0.6381360077604268,0.9371180327973296,0,13,1600,174.14790447703936,0.2611375751062039,1.3322676295501878e-15,dominant_shell,1.0,90.0,3.9891803652838207,0.2574931000358281,0.0036444750703757,3.962983905714323,0.9573920611309872,0.0202740283336574
labyrinth,0.2581775596166997,0.025,0.05,328.7245224594165,0.6381360077604268,0.95228813012419,0,13,3200,173.2280169437674,0.2584060709305948,1.3322676295501878e-15,dominant_shell,1.0,90.0,3.9891803652838207,0.2574931000358281,0.0009129708947666,3.962983905714323,0.9573920611309872,0.0051039310067971
labyrinth,0.2574937335285977,0.0125,0.05,328.7218311416435,0.6381360077604268,0.956116078379288,0,13,6400,172.99667494112222,0.2577213427595198,1.3322676295501878e-15,dominant_shell,1.0,90.0,3.9891803652838207,0.2574931000358281,0.0002282427236916,3.962983905714323,0.9573920611309872,0.0012759827516992
labyrinth,0.2949836695954415,0.1,0.05,328.77841930978826,0.9817477042468103,0.7603791899379809,20,0,800,33.46537840564077,0.2951705741695051,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,3.97308493561272,0.2592066303132776,0.0359639438562274,3.9087727495905975,0.9478112925820562,0.1874321026440752
labyrinth,0.2681949947218885,0.05,0.05,328.7352554327261,0.9817477042468103,0.8976066986635576,20,0,1600,31.906851840704245,0.2683882284741762,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,3.97308493561272,0.2592066303132776,0.0091815981608985,3.9087727495905975,0.9478112925820562,0.0502045939184986
labyrinth,0.2613188146754222,0.025,0.05,328.7245224594165,0.9817477042468103,0.9350417191512452,20,0,3200,31.494446221303832,0.2615136725140104,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,3.97308493561272,0.2592066303132776,0.0023070422007328,3.9087727495905975,0.9478112925820562,0.0127695734308109
labyrinth,0.2595881243073545,0.0125,0.05,328.7218311416435,0.9817477042468103,0.9446188992243536,20,0,6400,31.38979824626187,0.2597833908634608,1.3322676295501878e-15,high_k_control,1.5384615384615383,0.0,3.97308493561272,0.2592066303132776,0.0005767605501831,3.9087727495905975,0.9478112925820562,0.0031923933577027
labyrinth,0.2963931014947055,0.1,0.05,328.77841930978826,0.196349540849362,0.7492565342440306,4,0,800,34.03401056353187,0.2974550271143234,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,3.996855012878876,0.2930774867075872,0.0043775404067361,3.9898606485626287,0.7706457878978726,0.021389253653842
labyrinth,0.2931026992226464,0.05,0.05,328.7352554327261,0.196349540849362,0.765255367967942,4,0,1600,33.841401520361444,0.2941746085583137,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,3.996855012878876,0.2930774867075872,0.0010971218507264,3.9898606485626287,0.7706457878978726,0.0053904199299306
labyrinth,0.2922775194344173,0.025,0.05,328.7245224594165,0.196349540849362,0.7692956160653818,4,0,3200,33.79292822527884,0.2933519290047983,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,3.996855012878876,0.2930774867075872,0.000274442297211,3.9898606485626287,0.7706457878978726,0.0013501718324908
labyrinth,0.2920710623911769,0.0125,0.05,328.7218311416435,0.196349540849362,0.7703082449397499,4,0,6400,33.78078991404738,0.29314609728189,1.3322676295501878e-15,low_k_control,0.3076923076923076,0.0,3.996855012878876,0.2930774867075872,6.861057430274098e-05,3.9898606485626287,0.7706457878978726,0.0003375429581227
spot,0.2659283644919938,0.1,0.05,188.77293600892915,0.5890486225480862,0.9083732132365124,12,0,500,100.95280628628936,0.2663927615054852,8.881784197001252e-16,dominant_shell,1.0,0.0,3.9907053811443,0.2540429647431917,0.0123497967622934,3.9680055751873615,0.9768538920209764,0.0684806787844639
spot,0.2567007999417492,0.05,0.05,188.77028425443413,0.5890486225480862,0.959300051462572,12,0,1000,99.18467243340672,0.2571531887360797,8.881784197001252e-16,dominant_shell,1.0,0.0,3.9907053811443,0.2540429647431917,0.0031102239928879,3.9680055751873615,0.9768538920209764,0.0175538405584044
spot,0.2543725346493135,0.025,0.05,188.76962879803835,0.5890486225480862,0.972438946825354,12,0,2000,98.73357328456092,0.2548218781858333,8.881784197001252e-16,dominant_shell,1.0,0.0,3.9907053811443,0.2540429647431917,0.0007789134426415,3.9680055751873615,0.9768538920209764,0.0044149451956223
