L,mode_index,k,k_over_pi,nu_physical,nu_pt,logarithmic_negativity,symplectic_transform_error,spectral_abscissa,relative_lyapunov_residual,min_full_symplectic_eigenvalue,cp_margin
96,33,2.159844949342983,0.6875000000000001,0.8588771189338393,0.27590889388621553,0.857736132365333,1.471548410110605e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,34,2.2252947962927703,0.7083333333333334,0.8542334830265219,0.2762397611613552,0.8560071029461438,7.91033905045424e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,35,2.2907446432425576,0.7291666666666667,0.850142675911205,0.2765394420510864,0.8544428321728983,1.817990202823694e-15,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,36,2.356194490192345,0.75,0.8465407972155925,0.27680986331678215,0.8530327447426119,4.718447854656915e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,37,2.421644337142132,0.7708333333333333,0.8433801931029735,0.27705281548024185,0.8517670667422865,8.821879762366405e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,38,2.4870941840919194,0.7916666666666666,0.8406374914846985,0.27727005048179637,0.8506363038070414,3.0173641379554597e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,39,2.5525440310417067,0.8124999999999999,0.8384264568124347,0.2774643382292912,0.8496257373558487,2.1649348980190553e-15,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,40,2.6179938779914944,0.8333333333333334,0.8451854620714608,0.2784925260592604,0.8442894846000693,7.91033905045424e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,41,2.6834437249412812,0.8541666666666665,0.8343564470183069,0.2777783527862753,0.8479939201351729,9.020562075079397e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,42,2.748893571891069,0.875,0.8326647903890503,0.2779021896093361,0.8473508932165165,3.885780586188048e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,43,2.8143434188408563,0.8958333333333333,0.8313659916439368,0.2780066373714623,0.8468087673753315,5.134781488891349e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
96,44,2.8797932657906435,0.9166666666666666,0.8303329105100787,0.27809133210387194,0.8463693172133507,4.996003610813204e-16,-8.507196986169247e-06,5.734016487447021e-11,0.8230990729156984,-2.074749944241553e-14
