state,lambda,L,mode_index,k,k_over_pi,ell,kappa_k,g_k,R_k,eta_k,nu_physical,nu_pt,logarithmic_negativity
homogeneous_differential,-0.2,96,28,1.832595714594046,0.5833333333333333,2.5176380902050415,20.79190653543178,8.87831517751085,21.141423410893644,0.839897579737803,0.9212430652498756,0.27175425714253787,0.8796254590448206
homogeneous_differential,-0.2,96,29,1.8980455615438334,0.6041666666666667,2.642878930606323,21.726716894552197,9.220479516669776,22.061428636345628,0.8358914255878495,0.9109213291526188,0.27234726031791384,0.8764807404523121
homogeneous_differential,-0.2,96,30,1.9634954084936205,0.6249999999999999,2.7653668647301792,22.64097928148096,9.5551227760103,22.962368111434,0.8322419298950593,0.9018553478219017,0.27288972697433966,0.873610009993665
homogeneous_differential,-0.2,96,31,2.028945255443408,0.6458333333333333,2.884577380438002,23.530778684317124,9.88081196172056,23.840175166111177,0.8289210874395034,0.8938698319822952,0.2733852233613873,0.8709928283858457
homogeneous_differential,-0.2,96,32,2.0943951023931953,0.6666666666666666,2.9999999999999996,24.39230484541326,10.19615242270663,24.690908086421654,0.8259033962638119,0.8868209753279082,0.2738370502092864,0.8686104381491297
homogeneous_differential,-0.2,96,33,2.159844949342983,0.6875000000000001,3.1111404660392044,25.22186857748365,10.499793822702621,25.51076363028767,0.8231657801287245,0.8805900390408624,0.2742482364739741,0.866445751336131
homogeneous_differential,-0.2,96,34,2.2252947962927703,0.7083333333333334,3.2175228580174413,26.015917561270626,10.790435922617872,26.29609045115605,0.8206874662726522,0.875078430984967,0.27462154228128455,0.8644832948816791
homogeneous_differential,-0.2,96,35,2.2907446432425576,0.7291666666666667,3.3186916302001377,26.771051557120995,11.06683414836036,27.043402299536602,0.8184498404292861,0.8702038969080977,0.2749594676100407,0.8627091314784573
homogeneous_differential,-0.2,96,36,2.356194490192345,0.75,3.414213562373095,27.484036965334244,11.327804920294026,27.749390882907868,0.8164362935455527,0.8658975479752135,0.2752642643051555,0.8611107681219026
homogeneous_differential,-0.2,96,37,2.421644337142132,0.7708333333333333,3.5036796149579548,28.151820672932896,11.572230721508493,28.410938274923673,0.814632069488707,0.8621015238413063,0.2755379497623894,0.8596770604340052
homogeneous_differential,-0.2,96,38,2.4870941840919194,0.7916666666666666,3.58670668058247,28.77154312756099,11.799064883198024,29.025128774936604,0.8130241195268424,0.8587671435284133,0.27578232115879875,0.8583981180717576
homogeneous_differential,-0.2,96,39,2.5525440310417067,0.8124999999999999,3.66293922460509,29.340550582526284,12.007336066658052,29.58926012840359,0.811600967009774,0.855853434393817,0.2759989694779747,0.8572652145933056
homogeneous_differential,-0.2,96,40,2.6179938779914944,0.8333333333333334,3.7320508075688776,29.85640646055102,12.196152422706632,30.10085402772127,0.8103525841143664,0.8533259570302874,0.27618929284131827,0.8562707038364817
